id,chemsys
987,Se-H-N-Rb-Li
988,Sn-O-Li-Te
989,O-Sr-B-Li-Sc
990,H-O-Fe-S-Li
991,Ga-As-Li-Na
992,Ta-F-N-Sr-Li
993,In-Cl-Li-Tl
994,Cs-Li-F-Na
995,Cs-Li-Tl-F
996,Ga-F-Li-Tl
