material_id,pretty_formula,band_gap,e_above_hull,theoretical,icsd_ids
mp-30980,NaYO2,4.133,0.000,False,[2740]
mp-17891,NaYSiO4,4.283,0.000,False,"[20161, 30384]"
mp-1045,Nd2O3,3.708,0.000,False,"[191535, 645662, 96204, 645664, 645657, 184534]"
mp-2763,Nd2O3,3.834,0.038,False,"[191536, 169442, 96199, 184526, 28180, 645656, 32514, 160208, 645659, 645663, 645658]"
mp-17904,Nd2TiO5,3.314,0.000,False,"[195209, 262619, 2898, 247560]"
mp-31417,Nd3TaO7,3.483,0.000,False,"[55659, 55658]"
mp-1192039,Nd3TaO7,3.470,0.005,False,[55658]
mp-2063,Pr2O3,3.776,0.026,False,"[154588, 160207, 184525, 600743, 647302, 61179, 647291, 75481, 96198]"
mp-16705,Pr2O3,3.659,0.000,False,"[647301, 184533, 647290, 96203]"
mp-14964,Pr3TaO7,3.424,0.000,False,[78008]
mp-769173,PrOF,4.436,0.000,True,[]
mp-216,Sc2O3,3.824,0.000,False,"[202905, 647392, 647398, 184529, 169172, 647397, 24200, 27948, 41264, 26841, 33646, 186676, 26942]"
mp-2245,Si3N4,4.655,0.000,False,"[239369, 644683, 164618, 34096, 79797, 35564, 90146, 644686, 35565, 26191, 35561, 159207, 92156, 35560, 35562, 35563, 77811, 644682]"
mp-988,Si3N4,4.244,0.000,False,"[74740, 187736, 644690, 79798, 644680, 100135, 35568, 170004, 170005, 170002, 35566, 98634, 170006, 23671, 34023, 35570, 98635, 170003, 16818, 170001, 35567, 35571, 35569, 8263]"
mp-218,Sm2O3,3.782,0.000,False,"[96206, 647450, 184535, 41271, 165779, 647461, 40475, 27998, 33650]"
mp-1745,Sm2O3,3.750,0.032,False,"[34291, 42696, 184527, 261888, 160225, 647449, 202903]"
mp-10733,Sm2O3,3.960,0.040,False,"[160210, 647455, 77685]"
mp-9488,SmOF,4.693,0.000,False,[81948]
mp-17825,Sr2SiO4,4.377,0.009,False,[35667]
mp-18510,Sr2SiO4,4.470,0.000,False,[36041]
mp-16432,Sr3(BO3)2,4.394,0.000,False,[93395]
mp-28940,Sr4Nb2O9,3.648,0.000,False,[79217]
mp-769271,Sr4Ta2O9,4.197,0.000,True,[]
mp-1019258,SrF2,5.936,0.174,False,"[262350, 168801]"
mp-981,SrF2,6.753,0.000,False,"[41402, 181245, 248432, 40414, 260881, 168800, 262348, 248431]"
mp-23714,SrH2,3.131,0.000,False,"[69077, 81426, 163569, 155988]"
mp-2472,SrO,3.287,0.000,False,"[181061, 181274, 180194, 28904, 248393, 109461, 163625, 105548, 249178, 52276, 187678, 26960]"
mp-770771,SrSc2O4,3.436,0.000,True,[]
mp-2457,Tb2O3,3.946,0.040,False,"[28172, 160227]"
mp-1056,Tb2O3,3.901,0.000,False,"[33653, 27995, 647494, 184537, 647501, 647509, 40474]"
mp-643,ThO2,4.425,0.000,False,"[28778, 647528, 647527, 61585, 246706, 105550, 647529, 647530, 647523, 77691, 647525, 61586, 77690, 601173, 647531, 236586, 647524, 53999, 28685]"
mp-1767,Tm2O3,3.980,0.000,False,"[647578, 33657, 78582, 184541, 90669, 61270, 647581]"
mp-2652,Y2O3,4.056,0.000,False,"[193377, 237970, 193375, 193376, 193374, 187274, 41936, 160890, 290965, 86814, 81861, 66242, 85355, 82420, 290963, 16394, 86817, 78581, 186675, 153500, 193042, 181871, 155173, 184530, 185295, 23811, 290961, 26190, 27772, 647653, 181825, 80033, 86815, 77081, 86813, 151761, 66730, 33648, 66243, 41267, 151760, 290960, 192862, 290964]"
mp-558573,Y2O3,3.960,0.047,False,"[181826, 160219, 647650, 192863]"
mp-10219,YOF,4.948,0.009,False,[76426]
mp-3637,YOF,4.954,0.000,False,"[184004, 30623, 14282]"
mp-865934,YbF2,6.735,0.000,True,[]
mp-1216,YbO,3.473,0.000,False,"[77710, 151764]"
